frame_path,video_name,label,split,frame_index,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_body_line,right_body_line,torso_angle,left_knee_bend,right_knee_bend,head_drop,left_shoulder_shrug,right_shoulder_shrug,arm_symmetry,leg_symmetry,hip_symmetry,form_label
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0010.jpg,v_BodyWeightSquats_g08_c01,squats,train,10,0.537782,0.378361,0.440492,0.380753,0.579904,0.478992,0.459059,0.507038,0.640123,0.569147,0.492972,0.626779,0.501206,0.591757,0.441977,0.588294,0.510127,0.747747,0.436274,0.762142,0.517298,0.903484,0.421381,0.914881,0.509285,0.292363,0.503193,0.28288,0.475778,0.28256,179.36108705189807,176.30946474919338,168.97197358600772,172.55052778146765,167.00080250150955,177.71075976426934,167.31888854495384,175.9813805794502,170.27387675362124,-0.0071710000000000385,0.01489299999999999,-0.08599800000000002,-0.09548099999999998,-0.09819300000000003,3.5785541954599296,3.0516223027046863,10.709957262759787,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0011.jpg,v_BodyWeightSquats_g08_c01,squats,train,11,0.533797,0.374389,0.439241,0.37757,0.598399,0.447713,0.479339,0.480912,0.668836,0.511592,0.538463,0.574366,0.498858,0.597552,0.436584,0.595767,0.519262,0.759414,0.437876,0.775535,0.527146,0.897206,0.422156,0.905154,0.510495,0.289824,0.502944,0.282003,0.475768,0.282021,176.08963638277126,172.6730539658323,173.58581159998948,168.88700916831706,163.91710391631094,178.88980583396065,165.7089535254017,178.0274084289242,171.10169072449753,-0.007884000000000002,0.015720000000000012,-0.084565,-0.09238600000000002,-0.095549,4.698802431672419,3.416582416938951,14.972701917649715,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0012.jpg,v_BodyWeightSquats_g08_c01,squats,train,12,0.537257,0.375534,0.44153,0.375562,0.604346,0.429375,0.491536,0.458689,0.679371,0.476112,0.562792,0.524115,0.495558,0.608485,0.43334,0.601431,0.52439,0.777145,0.438437,0.781237,0.530552,0.903518,0.427808,0.901242,0.511102,0.294564,0.506847,0.286135,0.476883,0.284738,173.09053845901363,173.31447924018963,173.17218786349702,163.58688789734657,160.15051247386202,176.29940828646855,163.08704706054888,178.97997267614593,169.85121459679078,-0.006162000000000001,0.010629,-0.08096999999999999,-0.089399,-0.09082400000000002,9.585299966150444,0.22394078117599747,16.148895812606526,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0013.jpg,v_BodyWeightSquats_g08_c01,squats,train,13,0.536123,0.383375,0.44466,0.387863,0.607991,0.420074,0.501801,0.460698,0.680913,0.444702,0.576184,0.497606,0.494701,0.617352,0.43014,0.615301,0.52899,0.776232,0.439417,0.784836,0.534568,0.875109,0.426917,0.883234,0.515423,0.31016,0.506306,0.298114,0.48025,0.298448,171.04999509926657,169.62790127426075,171.60990071132414,154.5050591293647,157.78203985129593,173.21486363952906,161.1684541248507,177.03610833580572,169.9605533427662,-0.005578000000000083,0.012500000000000011,-0.07321500000000003,-0.08526100000000003,-0.08941500000000002,17.104841581959448,1.4220938250058168,15.432823788233122,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0014.jpg,v_BodyWeightSquats_g08_c01,squats,train,14,0.533423,0.403917,0.451741,0.402761,0.602846,0.428139,0.526084,0.44426,0.676343,0.427016,0.615037,0.444145,0.487127,0.631507,0.424433,0.632771,0.537391,0.780871,0.446216,0.8027,0.526018,0.867524,0.440389,0.852614,0.5155,0.33342,0.51702,0.324198,0.484246,0.32111,153.9235938219384,166.0362762687071,159.89021405612135,150.7551038143246,149.90271163132536,165.9243385983997,159.14469476669467,169.07798358077767,168.50174229586372,0.011372999999999966,0.005827000000000027,-0.07049700000000003,-0.07971900000000004,-0.08165099999999997,9.135110241796752,12.112682446768702,16.021626967074326,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0015.jpg,v_BodyWeightSquats_g08_c01,squats,train,15,0.540309,0.427633,0.456361,0.423003,0.609932,0.437772,0.516854,0.450265,0.684515,0.426518,0.601484,0.441355,0.4843,0.641351,0.422487,0.644659,0.546535,0.78142,0.44884,0.809157,0.53436,0.854964,0.444428,0.844766,0.52207,0.359291,0.522324,0.346827,0.488681,0.346683,146.64364441057742,163.83505347725605,163.13330717122722,149.73040137898616,141.35836729002338,162.2095073034396,152.12554390321407,165.05382330810437,165.31466767589575,0.012175000000000047,0.004412000000000027,-0.06834199999999996,-0.08080599999999999,-0.07632,13.402905792241057,17.19140906667863,20.851140013416227,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0016.jpg,v_BodyWeightSquats_g08_c01,squats,train,16,0.541993,0.461184,0.459066,0.446005,0.628464,0.464361,0.519277,0.458311,0.694114,0.430769,0.597293,0.447752,0.479601,0.652074,0.41831,0.659589,0.553974,0.778332,0.456401,0.821459,0.549422,0.831439,0.441119,0.864756,0.5312,0.389752,0.522842,0.37767,0.495334,0.379197,144.60037865080707,147.3171758204606,150.79764028551855,160.74075480274476,131.39965384306353,155.95484250084016,140.63075335382013,162.8529924669016,161.90003999101447,0.0045520000000000005,0.015282000000000018,-0.071432,-0.08351399999999998,-0.06680799999999998,9.943114517226206,2.7167971696535176,24.555188657776625,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0017.jpg,v_BodyWeightSquats_g08_c01,squats,train,17,0.543156,0.484609,0.47279,0.48916,0.610675,0.48225,0.561019,0.495574,0.691365,0.486853,0.640394,0.465783,0.480526,0.664759,0.419441,0.679938,0.563881,0.780369,0.459562,0.838284,0.547129,0.85827,0.441047,0.847663,0.54535,0.43704,0.535124,0.420007,0.510102,0.422673,132.0720993250307,102.64688950492679,174.73293074743714,155.2698047089641,125.03807032873543,150.15877117086745,141.83719190198704,157.0365821310903,160.8296643309023,0.01675199999999999,0.018515000000000004,-0.04756900000000003,-0.06460199999999999,-0.06648699999999996,19.463126038473035,29.425209820103916,25.120700842132024,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0018.jpg,v_BodyWeightSquats_g08_c01,squats,train,18,0.550564,0.521028,0.476841,0.521316,0.618085,0.532261,0.544224,0.525125,0.677696,0.49996,0.634789,0.498957,0.481847,0.674666,0.419447,0.693596,0.576413,0.779006,0.460256,0.839168,0.555562,0.857216,0.430248,0.834099,0.550335,0.464583,0.536581,0.453418,0.516269,0.459785,122.8851525665962,64.75200482793342,142.10281672094072,160.64818515968827,113.71584386665235,145.91472819833004,133.91344562320177,157.17887739964746,155.9025959435771,0.020850999999999953,0.03000799999999998,-0.05644500000000002,-0.06761000000000006,-0.061531,18.545368438747545,58.133147738662785,32.19888433167769,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0019.jpg,v_BodyWeightSquats_g08_c01,squats,train,19,0.548173,0.554646,0.485212,0.552268,0.615526,0.563338,0.569802,0.567309,0.68268,0.535064,0.658877,0.531142,0.473626,0.696826,0.413192,0.711525,0.579618,0.77518,0.465106,0.81937,0.540786,0.893311,0.432817,0.833855,0.556158,0.505188,0.540691,0.491085,0.524683,0.497341,108.2767293745647,88.45618669453158,149.8136794606257,147.8189073784771,98.80479232404298,129.96125444195292,133.46051993260775,146.552172930114,152.33126887866223,0.03883199999999998,0.03228900000000001,-0.049458,-0.06356099999999998,-0.054927000000000004,1.9947720821486143,19.820542680033114,31.15646211790994,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0020.jpg,v_BodyWeightSquats_g08_c01,squats,train,20,0.550683,0.569292,0.488123,0.576302,0.624104,0.582785,0.576672,0.583016,0.695148,0.555409,0.672594,0.551466,0.468981,0.708739,0.409979,0.730055,0.582448,0.764929,0.469074,0.815285,0.532177,0.842663,0.427296,0.844401,0.559329,0.523461,0.542186,0.512346,0.527223,0.518867,83.45411343467808,90.13762360947806,148.5128519236894,157.45712621423593,85.97903980627966,118.32245528132289,124.37227786813436,144.44663539470795,149.63390116960022,0.050270999999999955,0.04177799999999998,-0.045831000000000066,-0.05694600000000005,-0.057435000000000014,8.944274290546531,6.683510174799977,32.34341547504323,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0021.jpg,v_BodyWeightSquats_g08_c01,squats,train,21,0.549729,0.573848,0.491108,0.593257,0.627813,0.581206,0.565416,0.612537,0.692264,0.577459,0.648887,0.586332,0.465946,0.719123,0.410763,0.741651,0.583906,0.761252,0.473997,0.806236,0.509341,0.85334,0.450735,0.850936,0.563709,0.539888,0.546459,0.526726,0.530741,0.534072,70.65642426467669,108.11294175826576,171.2887997257773,148.0253673998728,79.68110426538856,107.17310670522006,132.11002678501546,131.47705912090942,150.0270313830245,0.07456499999999999,0.023262000000000005,-0.03395999999999999,-0.047122,-0.05918500000000004,23.26343232590449,37.456517493589075,27.49200243983151,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0022.jpg,v_BodyWeightSquats_g08_c01,squats,train,22,0.547634,0.579101,0.492301,0.608915,0.631294,0.59769,0.554658,0.651448,0.695284,0.602221,0.635431,0.619669,0.465323,0.717232,0.41611,0.742676,0.57925,0.743966,0.477671,0.795467,0.529318,0.842089,0.462271,0.826711,0.559925,0.557038,0.547989,0.544983,0.527928,0.551008,76.23580032061683,104.37590622976613,171.52210696917936,124.22602857370288,72.41571848652487,100.94831328911566,122.07241357603024,121.55360639898967,149.20961264557755,0.04993200000000009,0.015400000000000025,-0.022062999999999944,-0.03411799999999998,-0.05790699999999993,47.296078395476485,28.140105909149298,28.532594802590793,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0023.jpg,v_BodyWeightSquats_g08_c01,squats,train,23,0.54862,0.57394,0.49005,0.606071,0.625465,0.593409,0.546725,0.650491,0.691665,0.607172,0.629139,0.623742,0.465961,0.716693,0.41336,0.741577,0.57901,0.74478,0.475822,0.797151,0.539858,0.873274,0.451177,0.833545,0.558304,0.552091,0.547151,0.539293,0.525763,0.545155,87.0066899998471,97.5555073341281,177.5250592748214,123.92995286966908,73.8802775748692,102.1524655386057,124.66309020131806,128.13982206185835,149.9275918511501,0.039152000000000076,0.024645000000000028,-0.021849000000000007,-0.03464699999999998,-0.06091600000000008,53.59510640515231,10.548817334280997,28.2721879637365,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0024.jpg,v_BodyWeightSquats_g08_c01,squats,train,24,0.550945,0.56252,0.493541,0.592379,0.634103,0.586599,0.570038,0.621076,0.69369,0.60102,0.638579,0.615688,0.465507,0.708171,0.416545,0.724656,0.580477,0.736594,0.468948,0.77959,0.54324,0.865809,0.455348,0.819109,0.558377,0.544631,0.550122,0.529639,0.525836,0.534171,87.8104388470273,117.36038690124842,177.45370992371036,154.94198876833903,73.49066681699027,106.1478715326842,123.35595383025816,127.46333226405919,149.60431275636105,0.037237000000000076,0.013600000000000001,-0.017889000000000044,-0.03288100000000005,-0.05820800000000004,22.511721155371333,29.54994805422112,32.657204715693936,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0025.jpg,v_BodyWeightSquats_g08_c01,squats,train,25,0.549046,0.562393,0.491792,0.581806,0.634911,0.582509,0.55633,0.628649,0.696285,0.592062,0.638554,0.607839,0.463661,0.697692,0.41055,0.714249,0.580978,0.732524,0.472207,0.765644,0.544796,0.863355,0.448112,0.839313,0.559675,0.532945,0.548047,0.51934,0.528431,0.522953,91.07735263368663,111.7018785740083,175.660679128918,129.8243128282678,74.28106657687582,98.28791991302194,121.65089720497004,131.75733034039672,147.7445858415458,0.03618200000000005,0.024094999999999978,-0.02944800000000003,-0.04305300000000001,-0.058853000000000044,45.836366300650184,20.624525940321675,24.006853336146122,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0026.jpg,v_BodyWeightSquats_g08_c01,squats,train,26,0.555958,0.555786,0.492639,0.57056,0.636676,0.586667,0.550288,0.622798,0.702512,0.58371,0.633644,0.606333,0.470493,0.684563,0.411473,0.696972,0.581946,0.725736,0.471261,0.761658,0.54663,0.842623,0.435967,0.804468,0.559983,0.523279,0.548292,0.511115,0.533015,0.516851,93.46369079373528,97.75007221286734,156.49228417207024,126.64540321565059,76.70435735340001,104.54988057186397,120.70911524342445,134.46021734896607,146.4290410879587,0.035316000000000014,0.03529399999999999,-0.03250699999999995,-0.044671000000000016,-0.05370900000000001,29.846880956419653,4.286381419132056,27.845523218463953,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0027.jpg,v_BodyWeightSquats_g08_c01,squats,train,27,0.556725,0.542295,0.494082,0.558696,0.633416,0.572679,0.547438,0.612413,0.70739,0.573395,0.633817,0.596879,0.47044,0.674162,0.410719,0.68574,0.57952,0.714235,0.468235,0.727389,0.543719,0.853996,0.45162,0.798059,0.560856,0.509628,0.547747,0.495293,0.532811,0.503722,95.80407259383269,112.67898674559567,158.9414673176753,124.61192944307,76.97388551885459,92.63752884945967,124.63193903292797,126.7190119791986,146.8018753345545,0.03580100000000008,0.01661499999999999,-0.032667,-0.04700199999999999,-0.05497399999999997,34.32953787460529,16.87491415176298,15.663643330605083,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0028.jpg,v_BodyWeightSquats_g08_c01,squats,train,28,0.557061,0.542909,0.495265,0.556752,0.634439,0.576843,0.546662,0.613079,0.708124,0.571754,0.63505,0.594252,0.467186,0.669222,0.409852,0.682205,0.579129,0.709561,0.46982,0.726632,0.545455,0.849431,0.447749,0.791292,0.562625,0.509157,0.549379,0.496695,0.534929,0.503859,96.28030444195159,107.68589034393193,152.3692296758312,120.35510495766285,74.38394489375489,92.28424604041906,121.09070569122014,126.5941975461656,144.5671031306195,0.03367399999999998,0.022071000000000007,-0.033752000000000004,-0.04621399999999998,-0.05289300000000008,32.01412471816836,11.405585901980345,17.900301146664177,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0029.jpg,v_BodyWeightSquats_g08_c01,squats,train,29,0.560777,0.525524,0.497077,0.539199,0.636511,0.554288,0.568289,0.579885,0.706925,0.556031,0.638166,0.585628,0.471647,0.657548,0.414683,0.665758,0.581584,0.696163,0.473557,0.704286,0.549968,0.836597,0.458973,0.764722,0.563984,0.496096,0.552798,0.48198,0.537019,0.487097,96.66613969552807,109.6344200945479,160.62077472300146,154.95731527500695,75.33019682203162,90.1358894870621,122.35062147261665,122.82429207184204,145.97648259912057,0.03161599999999998,0.014583999999999986,-0.02942800000000001,-0.04354399999999997,-0.05210199999999998,5.663459447994512,12.968280399019832,14.805692665030477,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0030.jpg,v_BodyWeightSquats_g08_c01,squats,train,30,0.569025,0.506214,0.500227,0.517875,0.644887,0.53537,0.573959,0.557533,0.719951,0.535053,0.64958,0.564496,0.47962,0.636774,0.419132,0.643301,0.585208,0.685857,0.469992,0.697722,0.555889,0.826794,0.44961,0.821956,0.569188,0.476343,0.559477,0.462163,0.541071,0.465632,103.17995663195231,127.62015055658675,158.73455891631784,156.98627587369955,80.52895270754581,104.05225507234455,123.72816782419845,137.43373971362436,145.59734721514224,0.029318999999999984,0.02038200000000001,-0.029871000000000036,-0.04405100000000006,-0.052242999999999984,1.748283042618283,24.440193924634443,23.523302364798738,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0031.jpg,v_BodyWeightSquats_g08_c01,squats,train,31,0.570539,0.479302,0.499739,0.495933,0.64773,0.502557,0.565509,0.541002,0.722207,0.509717,0.646057,0.543753,0.481534,0.614779,0.422749,0.622845,0.586645,0.67391,0.478211,0.696052,0.56114,0.81834,0.450639,0.823483,0.57125,0.444471,0.560986,0.427789,0.542059,0.432132,109.34559675093652,130.6434217036515,168.72514322764675,147.53499838928573,86.05635307004093,111.60951689993271,125.33724513563146,140.84348913231352,146.69603340556847,0.025505,0.027571999999999985,-0.034831,-0.05151300000000003,-0.063801,21.19014483836102,21.29782495271499,25.553163829891787,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0032.jpg,v_BodyWeightSquats_g08_c01,squats,train,32,0.572248,0.419258,0.505261,0.447398,0.651518,0.450628,0.574409,0.50665,0.7416,0.475703,0.655608,0.525231,0.489192,0.561071,0.433003,0.573624,0.588524,0.656313,0.478901,0.681941,0.562915,0.802409,0.447557,0.835698,0.573178,0.378977,0.561435,0.362314,0.542546,0.368822,123.8534822789291,145.51364197852322,173.96376926504885,152.29626035967797,103.43945737249419,127.2468137968401,132.65698527466176,147.03242736346553,149.643599901488,0.025608999999999993,0.03134400000000004,-0.04028100000000001,-0.056943999999999995,-0.07857600000000003,21.66750890537088,21.660159699594118,23.80735642434591,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0033.jpg,v_BodyWeightSquats_g08_c01,squats,train,33,0.57167,0.378663,0.507137,0.416301,0.654766,0.416035,0.565517,0.501068,0.751312,0.4454,0.642072,0.518559,0.492677,0.532848,0.436683,0.546086,0.583059,0.646917,0.482105,0.673834,0.565843,0.797483,0.452995,0.823284,0.57656,0.335046,0.563111,0.318236,0.545389,0.327446,135.08562672618274,149.4045197421748,172.70135427126039,137.42537012909403,114.48137286744276,131.93125874573172,137.417738945156,148.13683743134814,152.87268739279338,0.01721600000000001,0.029110000000000025,-0.04361700000000002,-0.06042700000000001,-0.08885499999999996,35.27598414216635,14.318893015992074,17.449885878288967,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0034.jpg,v_BodyWeightSquats_g08_c01,squats,train,34,0.578583,0.330754,0.507465,0.356041,0.663052,0.375334,0.546602,0.463155,0.75684,0.422988,0.597325,0.520626,0.499881,0.508805,0.444422,0.512764,0.581273,0.642099,0.482763,0.662448,0.566563,0.800582,0.455079,0.82789,0.567936,0.2763,0.560383,0.265246,0.536767,0.270814,143.28803069681362,156.13325190949305,179.10796821908272,158.63986042967892,124.74454810887657,143.7199415786794,143.28047056777123,156.15024620078805,156.15357385400824,0.01471,0.027683999999999986,-0.054454,-0.06550800000000001,-0.085227,20.468107789403803,12.845221212679434,18.975393469802825,good
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0035.jpg,v_BodyWeightSquats_g08_c01,squats,train,35,0.589372,0.31767,0.498765,0.315972,0.670207,0.366741,0.508526,0.411063,0.748871,0.422728,0.53145,0.510086,0.512051,0.503863,0.453147,0.498338,0.575723,0.643198,0.481067,0.665232,0.562598,0.804521,0.451879,0.834922,0.564928,0.244901,0.558718,0.234129,0.531896,0.242063,150.78969582636333,160.74296064056557,175.81870095519722,172.825901231214,132.88916317637543,156.45871052283397,147.90478097292188,166.17173116146097,157.44811967096595,0.013124999999999942,0.029188000000000047,-0.072769,-0.083541,-0.07390899999999997,2.992799723983211,9.953264814202242,23.569547346458535,bad
